title,doc_len,word,pos,sent_id,tf,idf,tf_idf
THE FOX AND THE GRAPES,3,hungry,3,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,fox,1,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,see,2,1,0.0625,0.4054651081081644,0.025341569256760274
THE FOX AND THE GRAPES,3,fine,3,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,bunch,1,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,grape,1,1,0.0625,0.4054651081081644,0.025341569256760274
THE FOX AND THE GRAPES,3,hang,2,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,vine,1,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,train,2,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,high,3,1,0.125,1.0986122886681098,0.13732653608351372
THE FOX AND THE GRAPES,3,trellis,1,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,best,3,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,reach,2,1,0.0625,0.4054651081081644,0.025341569256760274
THE FOX AND THE GRAPES,3,jump,2,1,0.0625,1.0986122886681098,0.06866326804175686
THE FOX AND THE GRAPES,3,air,1,1,0.0625,0.4054651081081644,0.025341569256760274
THE FOX AND THE GRAPES,3,vain,1,2,0.5,1.0986122886681098,0.5493061443340549
THE FOX AND THE GRAPES,3,reach,1,2,0.5,0.4054651081081644,0.2027325540540822
THE FOX AND THE GRAPES,3,give,2,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,try,2,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,walk,2,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,air,1,3,0.08333333333333333,0.4054651081081644,0.033788759009013694
THE FOX AND THE GRAPES,3,dignity,1,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,unconcern,3,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,remark,2,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,think,2,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,grape,1,3,0.08333333333333333,0.4054651081081644,0.033788759009013694
THE FOX AND THE GRAPES,3,ripe,3,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE FOX AND THE GRAPES,3,see,2,3,0.08333333333333333,0.4054651081081644,0.033788759009013694
THE FOX AND THE GRAPES,3,sour,3,3,0.08333333333333333,1.0986122886681098,0.0915510240556758
THE GOOSE THAT LAID THE GOLDEN EGGS,4,man,1,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,wife,1,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,good,3,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,fortune,1,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,possess,2,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,goose,1,1,0.1,0.6931471805599453,0.06931471805599453
THE GOOSE THAT LAID THE GOLDEN EGGS,4,lay,2,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,golden,3,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,egg,1,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,day,1,1,0.1,1.3862943611198906,0.13862943611198905
THE GOOSE THAT LAID THE GOLDEN EGGS,4,lucky,3,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,begin,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,think,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,get,2,2,0.05555555555555555,0.6931471805599453,0.03850817669777474
THE GOOSE THAT LAID THE GOLDEN EGGS,4,rich,3,2,0.05555555555555555,0.6931471805599453,0.03850817669777474
THE GOOSE THAT LAID THE GOLDEN EGGS,4,imagine,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,bird,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,make,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,gold,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,inside,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,decide,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,kill,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,order,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,secure,2,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,whole,3,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,store,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,precious,3,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,metal,1,2,0.05555555555555555,1.3862943611198906,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,cut,2,3,0.3333333333333333,1.3862943611198906,0.46209812037329684
THE GOOSE THAT LAID THE GOLDEN EGGS,4,find,2,3,0.3333333333333333,1.3862943611198906,0.46209812037329684
THE GOOSE THAT LAID THE GOLDEN EGGS,4,goose,1,3,0.3333333333333333,0.6931471805599453,0.23104906018664842
THE GOOSE THAT LAID THE GOLDEN EGGS,4,neither,2,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,get,2,4,0.1111111111111111,0.6931471805599453,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,rich,3,4,0.1111111111111111,0.6931471805599453,0.07701635339554948
THE GOOSE THAT LAID THE GOLDEN EGGS,4,hop,2,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,enjoy,2,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,long,3,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,daily,3,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,addition,1,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE GOOSE THAT LAID THE GOLDEN EGGS,4,wealth,1,4,0.1111111111111111,1.3862943611198906,0.15403270679109896
THE CAT AND THE MICE,10,house,1,1,0.3333333333333333,1.6094379124341003,0.5364793041447
THE CAT AND THE MICE,10,overrun,2,1,0.3333333333333333,2.302585092994046,0.7675283643313486
THE CAT AND THE MICE,10,mouse,1,1,0.3333333333333333,0.9162907318741551,0.3054302439580517
THE CAT AND THE MICE,10,cat,3,2,0.09090909090909091,1.2039728043259361,0.10945207312053964
THE CAT AND THE MICE,10,heard,1,2,0.09090909090909091,2.302585092994046,0.20932591754491328
THE CAT AND THE MICE,10,say,2,2,0.09090909090909091,1.6094379124341003,0.14631253749400913
THE CAT AND THE MICE,10,place,1,2,0.09090909090909091,2.302585092994046,0.20932591754491328
THE CAT AND THE MICE,10,go,2,2,0.09090909090909091,2.302585092994046,0.20932591754491328
THE CAT AND THE MICE,10,take,2,2,0.09090909090909091,1.6094379124341003,0.14631253749400913
THE CAT AND THE MICE,10,quarter,1,2,0.09090909090909091,2.302585092994046,0.20932591754491328
THE CAT AND THE MICE,10,house,1,2,0.09090909090909091,1.6094379124341003,0.14631253749400913
THE CAT AND THE MICE,10,catch,2,2,0.09090909090909091,1.6094379124341003,0.14631253749400913
THE CAT AND THE MICE,10,mouse,1,2,0.09090909090909091,0.9162907318741551,0.08329915744310501
THE CAT AND THE MICE,10,eat,2,2,0.09090909090909091,2.302585092994046,0.20932591754491328
THE CAT AND THE MICE,10,last,3,3,0.14285714285714285,2.302585092994046,0.32894072757057796
THE CAT AND THE MICE,10,mouse,1,3,0.14285714285714285,0.9162907318741551,0.13089867598202215
THE CAT AND THE MICE,10,stand,2,3,0.14285714285714285,2.302585092994046,0.32894072757057796
THE CAT AND THE MICE,10,determine,2,3,0.14285714285714285,2.302585092994046,0.32894072757057796
THE CAT AND THE MICE,10,take,2,3,0.14285714285714285,1.6094379124341003,0.22991970177630003
THE CAT AND THE MICE,10,hole,1,3,0.14285714285714285,2.302585092994046,0.32894072757057796
THE CAT AND THE MICE,10,stay,2,3,0.14285714285714285,2.302585092994046,0.32894072757057796
THE CAT AND THE MICE,10,say,2,4,0.5,1.6094379124341003,0.8047189562170501
THE CAT AND THE MICE,10,cat,1,4,0.5,1.2039728043259361,0.6019864021629681
THE CAT AND THE MICE,10,thing,1,5,0.3333333333333333,2.302585092994046,0.7675283643313486
THE CAT AND THE MICE,10,coax,2,5,0.3333333333333333,2.302585092994046,0.7675283643313486
THE CAT AND THE MICE,10,trick,1,5,0.3333333333333333,2.302585092994046,0.7675283643313486
THE CAT AND THE MICE,10,consider,2,6,0.1,2.302585092994046,0.2302585092994046
THE CAT AND THE MICE,10,climb,2,6,0.1,2.302585092994046,0.2302585092994046
THE CAT AND THE MICE,10,wall,1,6,0.1,2.302585092994046,0.2302585092994046
THE CAT AND THE MICE,10,let,2,6,0.1,2.302585092994046,0.2302585092994046
